Chl,EC,DO,Phycoprotein,Turbidity,T,PH,Ammonia Nitrogen
9.31,528.33,8.64,716.6,2.6,30.796,8.6,0.49
8.92,528.37,8.64,715.79,2.64,30.787,8.6,0.49
8.96,528.41,8.65,744.07,2.63,30.777,8.6,0.49
9.18,528.46,8.65,751.32,2.66,30.768,8.6,0.49
9.22,528.42,8.65,756.31,2.64,30.759,8.6,0.49
9.43,528.42,8.65,743.8,2.66,30.757,8.6,0.49
9.85,528.4,8.66,715.08,2.7,30.762,8.6,0.49
11.11,528.43,8.66,710.32,2.68,30.769,8.6,0.49
9.35,528.43,8.66,706.53,2.64,30.775,8.6,0.49
6.71,528.47,8.66,690.68,2.65,30.784,8.6,0.49
8.52,528.43,8.66,707.02,2.63,30.792,8.6,0.49
9.97,528.4,8.66,694.95,2.6,30.793,8.6,0.49
9.45,528.37,8.65,675.36,2.61,30.786,8.6,0.49
9.55,528.34,8.65,673.74,2.57,30.772,8.6,0.49
9.19,528.27,8.65,661.05,2.58,30.757,8.6,0.49
9.34,528.17,8.65,670.12,2.62,30.742,8.6,0.49
9.49,528.07,8.66,678.78,2.65,30.729,8.6,0.49
9.7,528.01,8.66,685.5,2.68,30.725,8.6,0.49
9.54,527.94,8.66,701.34,2.7,30.725,8.6,0.49
9.53,527.89,8.66,690.82,2.68,30.734,8.6,0.49
9.56,527.86,8.66,681.79,2.67,30.747,8.6,0.49
9.24,527.79,8.66,673.16,2.64,30.763,8.6,0.49
9.37,527.8,8.66,677.92,2.61,30.775,8.6,0.49
9.03,527.77,8.66,685.87,2.58,30.783,8.6,0.49
9.19,527.83,8.65,697.33,2.55,30.782,8.6,0.49
8.55,527.8,8.66,691.44,2.55,30.771,8.6,0.49
8.65,527.78,8.66,693.11,2.61,30.75,8.6,0.49
9.51,527.74,8.66,674.4,2.62,30.727,8.6,0.49
9.31,527.75,8.66,673.97,2.61,30.708,8.6,0.49
9.19,527.73,8.66,679.98,2.61,30.694,8.6,0.49
9.13,527.75,8.67,674.09,2.57,30.682,8.6,0.49
8.73,527.72,8.67,669.36,2.54,30.678,8.6,0.49
8.39,527.73,8.67,667.48,2.54,30.679,8.6,0.49
9.47,527.74,8.67,676.09,2.52,30.682,8.6,0.49
10.3,527.73,8.67,666.53,2.51,30.683,8.6,0.49
8.38,527.71,8.67,654.69,2.52,30.68,8.6,0.49
8.28,527.65,8.68,643.75,2.55,30.674,8.6,0.49
12.87,527.59,8.68,652.15,2.57,30.674,8.6,0.49
10.35,527.58,8.68,664.0,2.58,30.672,8.6,0.49
11.07,527.58,8.68,697.49,2.59,30.673,8.6,0.49
9.57,527.55,8.68,743.42,2.6,30.674,8.6,0.49
9.66,527.65,8.68,744.47,2.6,30.674,8.6,0.49
9.61,527.72,8.67,743.46,2.61,30.676,8.6,0.49
9.44,527.76,8.67,746.53,2.61,30.676,8.6,0.49
8.17,527.82,8.67,779.59,2.64,30.679,8.6,0.49
7.76,527.87,8.67,781.0,2.65,30.684,8.6,0.49
12.09,527.93,8.67,766.2,2.65,30.693,8.6,0.49
7.71,527.89,8.67,743.55,2.65,30.692,8.6,0.49
10.71,527.86,8.67,728.98,2.68,30.68,8.6,0.49
12.51,527.82,8.67,726.32,2.68,30.662,8.6,0.49
7.5,527.8,8.67,730.95,2.7,30.642,8.6,0.49
10.26,527.75,8.68,739.44,2.72,30.624,8.6,0.49
10.14,527.69,8.68,756.41,2.72,30.612,8.6,0.49
9.2,527.67,8.68,731.66,2.75,30.607,8.6,0.49
8.97,527.67,8.68,729.41,2.78,30.616,8.6,0.49
9.17,527.64,8.68,743.36,2.78,30.623,8.6,0.49
9.18,527.59,8.68,751.58,2.76,30.64,8.6,0.49
9.22,527.59,8.68,751.93,2.78,30.665,8.6,0.49
8.33,527.6,8.68,741.53,2.74,30.694,8.6,0.49
10.38,527.73,8.68,724.47,2.72,30.718,8.6,0.49
9.99,527.77,8.67,774.61,2.73,30.736,8.6,0.49
10.79,527.83,8.67,805.53,2.71,30.755,8.6,0.49
7.47,527.86,8.66,811.12,2.68,30.773,8.6,0.49
12.03,527.88,8.65,817.89,2.66,30.778,8.6,0.49
10.08,527.83,8.65,811.94,2.65,30.764,8.6,0.49
9.23,527.77,8.64,797.22,2.67,30.736,8.6,0.49
9.24,527.65,8.64,803.46,2.66,30.708,8.6,0.49
9.22,527.62,8.64,783.62,2.64,30.688,8.6,0.49
9.3,527.58,8.65,787.29,2.63,30.677,8.6,0.49
11.23,527.62,8.65,757.75,2.63,30.669,8.6,0.49
10.92,527.64,8.65,706.12,2.64,30.672,8.6,0.49
9.17,527.68,8.65,719.45,2.68,30.683,8.6,0.49
8.83,527.65,8.65,738.63,2.66,30.692,8.6,0.49
9.03,527.67,8.66,733.41,2.68,30.7,8.6,0.49
9.37,527.67,8.66,734.16,2.68,30.697,8.6,0.49
8.96,527.68,8.66,726.27,2.71,30.691,8.6,0.49
8.98,527.7,8.66,724.9,2.7,30.685,8.6,0.49
10.84,527.71,8.66,719.62,2.7,30.677,8.6,0.49
9.08,527.76,8.66,726.33,2.66,30.673,8.6,0.49
9.36,527.78,8.66,715.22,2.65,30.672,8.6,0.49
9.61,527.83,8.65,701.33,2.63,30.67,8.6,0.49
10.86,527.79,8.65,695.9,2.63,30.666,8.6,0.49
9.53,527.81,8.65,695.79,2.65,30.662,8.6,0.49
9.36,527.86,8.66,699.83,2.62,30.662,8.6,0.49
9.42,527.92,8.66,705.91,2.64,30.661,8.6,0.49
9.34,528.08,8.66,714.05,2.65,30.67,8.6,0.49
9.31,528.24,8.67,694.47,2.66,30.695,8.6,0.49
9.37,528.28,8.66,694.05,2.68,30.726,8.6,0.49
9.56,528.31,8.65,703.42,2.7,30.759,8.59,0.49
9.5,528.33,8.64,711.49,2.72,30.784,8.59,0.49
9.5,528.34,8.63,703.31,2.73,30.808,8.59,0.49
9.54,528.25,8.61,704.15,2.71,30.83,8.59,0.49
9.33,528.11,8.6,699.85,2.7,30.848,8.59,0.49
9.46,528.09,8.58,714.86,2.7,30.865,8.59,0.49
9.29,528.15,8.57,712.1,2.72,30.881,8.59,0.49
8.97,528.18,8.57,737.36,2.68,30.9,8.59,0.49
9.14,528.22,8.57,741.0,2.68,30.917,8.59,0.49
8.85,528.28,8.57,727.72,2.69,30.917,8.59,0.49
8.81,528.32,8.57,718.37,2.73,30.9,8.59,0.49
8.63,528.39,8.58,719.42,2.75,30.875,8.59,0.49
8.86,528.43,8.59,720.69,2.74,30.852,8.59,0.49
8.87,528.55,8.59,727.25,2.74,30.828,8.59,0.49
9.19,528.6,8.6,729.46,2.74,30.801,8.6,0.49
9.41,528.64,8.6,716.79,2.75,30.788,8.6,0.49
9.51,528.64,8.6,698.18,2.75,30.789,8.6,0.49
9.73,528.66,8.61,695.51,2.69,30.797,8.6,0.49
9.41,528.67,8.61,701.67,2.68,30.806,8.6,0.49
9.18,528.74,8.61,717.79,2.7,30.815,8.6,0.49
9.15,528.8,8.61,728.09,2.72,30.831,8.6,0.49
8.66,528.83,8.6,728.64,2.72,30.847,8.6,0.49
9.39,528.88,8.6,742.36,2.73,30.862,8.6,0.49
9.87,528.91,8.6,733.34,2.7,30.872,8.6,0.49
9.82,528.97,8.6,750.11,2.72,30.875,8.59,0.49
9.73,528.98,8.6,763.42,2.74,30.874,8.59,0.49
9.83,528.98,8.6,785.2,2.72,30.869,8.6,0.49
9.76,529.02,8.6,782.85,2.7,30.86,8.59,0.49
9.81,529.08,8.6,779.92,2.71,30.859,8.59,0.49
9.62,529.13,8.6,779.64,2.7,30.855,8.59,0.49
9.8,529.22,8.61,785.27,2.7,30.856,8.59,0.49
9.81,529.24,8.61,769.95,2.7,30.861,8.59,0.49
9.4,529.26,8.61,742.17,2.65,30.869,8.59,0.49
9.24,529.25,8.61,727.22,2.68,30.875,8.59,0.49
9.15,529.23,8.61,718.72,2.69,30.878,8.59,0.49
9.54,529.27,8.61,714.49,2.75,30.876,8.59,0.49
9.7,529.32,8.61,721.91,2.79,30.876,8.59,0.49
9.64,529.33,8.61,741.4,2.8,30.872,8.59,0.49
9.71,529.42,8.6,750.45,2.83,30.868,8.59,0.49
10.18,529.45,8.6,751.76,2.81,30.865,8.59,0.49
12.14,529.5,8.6,755.96,2.83,30.865,8.59,0.49
11.01,529.49,8.59,773.98,2.81,30.865,8.59,0.49
10.85,529.51,8.6,783.19,2.84,30.864,8.59,0.49
10.49,529.55,8.59,781.89,2.74,30.863,8.59,0.49
10.42,529.57,8.59,784.05,2.74,30.863,8.59,0.49
10.21,529.6,8.59,770.44,2.75,30.865,8.59,0.49
10.11,529.59,8.59,754.17,2.81,30.867,8.59,0.49
9.86,529.64,8.58,758.64,2.82,30.869,8.59,0.49
9.81,529.62,8.58,749.23,2.84,30.873,8.59,0.49
9.61,529.6,8.58,738.6,2.82,30.877,8.59,0.49
9.44,529.56,8.58,734.71,2.79,30.881,8.59,0.49
9.43,529.6,8.58,734.38,2.79,30.884,8.59,0.49
9.9,529.61,8.57,730.24,2.74,30.885,8.59,0.49
9.73,529.66,8.57,717.88,2.7,30.885,8.59,0.49
9.88,529.68,8.58,714.04,2.71,30.886,8.59,0.49
10.0,529.76,8.58,714.88,2.69,30.889,8.59,0.49
9.93,529.82,8.58,702.13,2.68,30.892,8.59,0.49
9.83,529.81,8.58,687.15,2.73,30.895,8.59,0.49
9.77,529.86,8.58,695.95,2.77,30.898,8.59,0.49
9.85,529.88,8.58,715.09,2.78,30.901,8.59,0.49
9.55,529.92,8.58,725.59,2.79,30.903,8.59,0.49
9.52,529.92,8.57,732.29,2.77,30.905,8.59,0.49
9.44,529.91,8.58,753.38,2.79,30.907,8.59,0.49
9.43,529.94,8.58,762.41,2.79,30.911,8.59,0.49
9.38,529.93,8.57,773.21,2.75,30.914,8.59,0.49
9.29,529.93,8.58,785.02,2.7,30.918,8.59,0.49
9.62,529.87,8.58,804.33,2.69,30.92,8.59,0.49
9.5,529.84,8.58,810.23,2.7,30.921,8.59,0.49
11.23,529.88,8.57,804.81,2.71,30.921,8.59,0.49
11.21,529.89,8.57,812.96,2.71,30.921,8.59,0.49
10.76,529.91,8.57,808.61,2.75,30.925,8.59,0.49
10.53,529.93,8.57,807.01,2.79,30.931,8.59,0.49
10.66,529.91,8.56,792.93,2.81,30.939,8.59,0.49
10.62,529.9,8.56,780.87,2.82,30.949,8.59,0.49
10.0,529.91,8.56,787.72,2.8,30.959,8.59,0.49
9.67,529.9,8.55,769.81,2.85,30.968,8.59,0.49
9.55,529.93,8.55,760.54,2.86,30.973,8.59,0.49
10.88,529.94,8.55,765.99,2.83,30.973,8.59,0.49
11.07,529.91,8.55,770.42,2.76,30.971,8.59,0.49
10.92,529.98,8.55,766.51,2.74,30.965,8.59,0.49
11.0,529.99,8.55,767.02,2.73,30.958,8.59,0.49
10.59,529.97,8.55,779.91,2.74,30.952,8.59,0.49
10.15,529.96,8.55,785.7,2.75,30.945,8.59,0.49
9.72,529.97,8.55,782.21,2.72,30.939,8.59,0.49
9.97,530.0,8.55,780.59,2.73,30.934,8.59,0.49
9.64,530.05,8.55,782.77,2.75,30.934,8.59,0.49
9.73,530.02,8.55,769.57,2.73,30.935,8.59,0.49
10.23,530.06,8.55,751.49,2.7,30.938,8.59,0.49
10.46,530.04,8.55,743.25,2.68,30.941,8.59,0.49
10.35,530.05,8.55,728.1,2.66,30.944,8.59,0.49
10.65,530.04,8.54,726.51,2.65,30.947,8.59,0.49
10.72,530.02,8.54,705.6,2.64,30.948,8.59,0.49
10.61,530.01,8.54,699.55,2.67,30.948,8.59,0.49
10.33,530.06,8.54,677.08,2.69,30.949,8.59,0.49
10.18,530.06,8.54,676.26,2.72,30.949,8.59,0.49
10.31,530.06,8.54,704.45,2.77,30.95,8.59,0.49
10.09,530.04,8.54,705.71,2.78,30.953,8.59,0.49
9.84,530.0,8.54,687.97,2.78,30.957,8.59,0.49
10.35,530.0,8.53,690.82,2.76,30.961,8.59,0.49
10.89,530.0,8.53,683.74,2.74,30.964,8.59,0.49
10.79,530.01,8.53,687.32,2.74,30.967,8.59,0.49
10.53,530.04,8.53,682.43,2.75,30.969,8.59,0.49
10.97,530.07,8.53,711.91,2.73,30.968,8.59,0.49
11.01,530.1,8.54,732.16,2.71,30.967,8.59,0.49
10.26,530.12,8.54,728.41,2.71,30.965,8.59,0.49
9.9,530.07,8.54,703.82,2.71,30.964,8.59,0.49
9.43,530.05,8.54,699.66,2.7,30.962,8.59,0.49
8.94,530.07,8.54,698.3,2.66,30.961,8.59,0.49
8.43,530.05,8.54,695.12,2.66,30.961,8.59,0.49
8.21,530.05,8.54,689.43,2.62,30.961,8.59,0.49
8.17,530.05,8.54,684.15,2.56,30.961,8.59,0.49
8.04,530.11,8.54,666.01,2.54,30.962,8.59,0.49
8.01,530.12,8.54,630.69,2.55,30.961,8.59,0.49
7.95,530.12,8.54,612.88,2.57,30.962,8.59,0.49
10.25,530.1,8.54,606.66,2.56,30.963,8.59,0.49
9.01,530.13,8.54,615.54,2.57,30.963,8.59,0.49
9.04,530.13,8.54,621.15,2.57,30.964,8.59,0.49
9.36,530.15,8.53,626.93,2.64,30.966,8.59,0.49
9.04,530.15,8.53,619.8,2.7,30.967,8.59,0.49
8.9,530.2,8.53,627.18,2.72,30.969,8.59,0.49
9.1,530.2,8.53,637.12,2.75,30.971,8.59,0.49
11.77,530.22,8.53,659.08,2.79,30.974,8.59,0.49
7.98,530.19,8.53,678.36,2.79,30.977,8.59,0.49
8.67,530.19,8.54,679.75,2.79,30.979,8.59,0.49
9.15,530.18,8.54,698.95,2.79,30.982,8.59,0.49
9.18,530.2,8.54,698.21,2.77,30.984,8.59,0.49
8.8,530.19,8.54,693.7,2.75,30.985,8.59,0.49
8.65,530.2,8.54,701.15,2.73,30.985,8.59,0.49
8.88,530.22,8.55,710.25,2.71,30.985,8.59,0.49
7.86,530.21,8.55,732.12,2.71,30.986,8.59,0.49
8.79,530.21,8.55,727.63,2.72,30.986,8.59,0.49
8.67,530.21,8.55,725.98,2.7,30.985,8.59,0.49
8.79,530.21,8.56,716.05,2.71,30.985,8.59,0.49
8.89,530.19,8.55,707.44,2.7,30.986,8.59,0.49
8.86,530.24,8.56,692.3,2.71,30.986,8.59,0.49
8.97,530.27,8.55,687.98,2.71,30.986,8.59,0.49
9.19,530.31,8.55,679.93,2.7,30.984,8.59,0.49
9.48,530.28,8.55,673.6,2.71,30.983,8.59,0.49
9.91,530.27,8.55,646.25,2.72,30.983,8.59,0.49
10.04,530.28,8.55,650.05,2.71,30.984,8.59,0.49
9.91,530.31,8.55,645.99,2.66,30.985,8.59,0.49
10.14,530.31,8.55,647.83,2.66,30.986,8.59,0.49
10.04,530.33,8.55,665.72,2.63,30.987,8.59,0.49
9.79,530.38,8.55,657.48,2.64,30.988,8.59,0.49
9.52,530.39,8.55,653.89,2.65,30.989,8.59,0.49
9.21,530.39,8.56,646.53,2.66,30.99,8.59,0.49
8.9,530.39,8.56,631.41,2.67,30.989,8.59,0.49
8.68,530.38,8.56,628.04,2.71,30.989,8.59,0.49
8.79,530.35,8.56,618.8,2.7,30.989,8.59,0.49
8.47,530.35,8.56,607.85,2.72,30.989,8.59,0.5
8.71,530.31,8.56,593.97,2.7,30.989,8.59,0.5
9.09,530.33,8.56,597.76,2.67,30.989,8.59,0.5
9.56,530.32,8.56,605.59,2.68,30.988,8.59,0.5
9.9,530.31,8.56,604.52,2.69,30.988,8.59,0.5
10.01,530.28,8.56,614.11,2.7,30.987,8.59,0.5
10.42,530.27,8.56,645.91,2.68,30.986,8.59,0.5
10.62,530.2,8.56,677.31,2.66,30.986,8.59,0.5
10.43,530.24,8.56,698.28,2.67,30.985,8.59,0.5
15.41,530.22,8.56,737.99,2.65,30.983,8.59,0.5
17.05,530.25,8.56,773.21,2.63,30.982,8.59,0.5
18.23,530.27,8.56,783.73,2.57,30.98,8.6,0.5
12.42,530.26,8.56,787.13,2.54,30.979,8.6,0.5
9.07,530.29,8.56,796.39,2.51,30.977,8.6,0.5
8.83,530.28,8.56,791.03,2.52,30.975,8.6,0.5
8.72,530.32,8.56,779.55,2.51,30.974,8.6,0.5
8.81,530.29,8.56,752.22,2.52,30.973,8.6,0.5
8.89,530.31,8.56,749.54,2.52,30.97,8.6,0.5
8.88,530.31,8.57,714.0,2.53,30.968,8.6,0.5
9.15,530.31,8.57,692.83,2.53,30.965,8.6,0.5
9.41,530.26,8.57,678.71,2.54,30.963,8.6,0.5
9.45,530.24,8.57,662.5,2.55,30.961,8.6,0.5
9.16,530.18,8.57,645.22,2.57,30.959,8.6,0.5
8.98,530.2,8.57,646.89,2.67,30.959,8.6,0.5
8.81,530.18,8.57,651.49,2.73,30.958,8.6,0.5
8.52,530.21,8.57,670.01,2.74,30.958,8.6,0.5
8.36,530.24,8.57,699.23,2.78,30.957,8.6,0.5
8.22,530.26,8.57,712.72,2.79,30.957,8.6,0.5
8.57,530.25,8.57,722.49,2.8,30.956,8.6,0.5
8.89,530.23,8.57,731.43,2.79,30.956,8.6,0.5
9.09,530.18,8.57,743.1,2.69,30.954,8.6,0.5
8.9,530.14,8.57,744.32,2.62,30.952,8.6,0.5
11.49,530.12,8.56,745.73,2.64,30.95,8.6,0.5
11.4,530.1,8.57,746.59,2.61,30.948,8.59,0.5
10.85,530.13,8.57,741.06,2.63,30.945,8.59,0.5
9.62,530.08,8.57,706.23,2.62,30.943,8.59,0.5
9.01,530.1,8.57,685.36,2.61,30.94,8.59,0.5
8.84,530.08,8.56,668.15,2.64,30.938,8.59,0.5
16.5,530.13,8.57,669.62,2.68,30.937,8.59,0.5
10.2,530.1,8.57,645.92,2.68,30.934,8.5,0.5
11.8,530.11,8.56,636.22,2.69,30.933,8.59,0.5
9.01,530.14,8.56,621.88,2.66,30.932,8.59,0.5
8.7,530.18,8.57,623.91,2.67,30.931,8.0,0.5
8.91,530.18,8.56,618.29,2.67,30.93,8.59,0.5
9.41,530.19,8.57,610.15,2.67,30.929,8.59,0.5
9.74,530.17,8.57,617.94,2.65,30.929,8.59,0.5
9.86,530.13,8.57,607.68,2.64,30.928,8.59,0.5
10.02,530.13,8.57,606.98,2.63,30.927,8.59,0.5
10.27,530.09,8.57,595.1,2.63,30.926,8.59,0.5
12.68,530.1,8.57,620.78,2.64,30.926,8.59,0.5
11.37,530.12,8.57,645.75,2.62,30.925,8.59,0.5
9.59,530.16,8.57,645.84,2.62,30.925,8.59,0.5
8.79,530.1,8.57,653.32,2.61,30.924,8.59,0.5
8.67,530.09,8.57,664.73,2.59,30.923,8.59,0.5
8.81,530.08,8.57,683.76,2.54,30.923,8.59,0.5
8.99,530.06,8.56,701.8,2.53,30.923,8.59,0.5
9.02,530.06,8.56,710.17,2.52,30.922,8.59,0.5
9.27,530.04,8.56,703.81,2.51,30.921,8.59,0.5
9.38,530.05,8.56,681.3,2.55,30.921,8.59,0.5
9.19,530.08,8.56,651.72,2.54,30.92,8.59,0.5
9.19,530.12,8.56,653.39,2.54,30.919,8.59,0.5
9.33,530.11,8.56,648.6,2.54,30.919,8.59,0.5
9.02,530.11,8.56,622.41,2.56,30.918,8.59,0.5
8.66,530.08,8.56,593.08,2.57,30.917,8.59,0.5
8.28,530.07,8.56,575.87,2.58,30.916,8.59,0.5
8.45,530.07,8.56,571.55,2.57,30.916,8.59,0.5
8.12,530.13,8.56,584.96,2.57,30.915,8.59,0.5
8.02,530.11,8.57,596.64,2.6,30.915,8.59,0.5
8.35,530.14,8.56,613.77,2.64,30.915,8.59,0.5
8.77,530.13,8.56,650.31,2.65,30.915,8.59,0.5
8.76,530.13,8.56,693.48,2.63,30.915,8.59,0.5
8.7,530.14,8.56,709.22,2.63,30.915,8.59,0.5
8.48,530.16,8.56,713.98,2.61,30.914,8.59,0.5
8.08,530.16,8.56,725.93,2.62,30.912,8.59,0.5
7.86,530.2,8.55,732.36,2.65,30.91,8.59,0.5
7.92,530.21,8.55,726.52,2.67,30.909,8.59,0.5
7.77,530.18,8.55,731.62,2.65,30.908,8.59,0.5
8.07,530.16,8.55,734.08,2.7,30.907,8.59,0.5
9.11,530.08,8.54,724.83,2.76,30.908,8.59,0.5
9.68,530.13,8.54,739.2,2.76,30.907,8.59,0.5
9.95,530.15,8.54,753.64,2.72,30.906,8.59,0.5
9.62,530.18,8.54,753.4,2.71,30.904,8.59,0.5
9.11,530.18,8.54,763.72,2.7,30.9,8.59,0.5
8.69,530.2,8.54,753.74,2.7,30.896,8.59,0.5
8.35,530.18,8.54,743.97,2.73,30.892,8.59,0.5
11.05,530.16,8.54,711.92,2.75,30.888,8.59,0.5
12.44,530.14,8.54,686.93,2.7,30.885,8.59,0.5
10.83,530.13,8.54,663.05,2.75,30.882,8.59,0.5
9.32,530.14,8.54,644.22,2.79,30.881,8.59,0.5
9.02,530.15,8.54,627.72,2.81,30.88,8.59,0.5
8.82,530.12,8.54,626.67,2.82,30.88,8.59,0.5
8.64,530.09,8.54,621.26,2.82,30.879,8.59,0.5
8.91,530.1,8.54,624.42,2.83,30.878,8.59,0.5
8.99,530.05,8.54,631.94,2.85,30.876,8.59,0.5
8.72,530.05,8.54,630.07,2.84,30.876,8.59,0.5
9.32,530.05,8.54,656.21,2.8,30.876,8.59,0.5
9.43,530.07,8.54,789.27,2.8,30.877,8.59,0.5
9.41,530.09,8.53,862.04,2.83,30.879,8.59,0.5
9.04,530.1,8.53,854.87,2.83,30.882,8.59,0.5
9.04,530.1,8.53,853.21,2.8,30.885,8.59,0.5
